cell,integration_cluster,cell_type,sample_type
X227284947725228.N,1,Effector/Memory CD8+ T cells,N
X227305168484077.N,2,Pro-angiogenesis Macrophage,N
X227305168689974.N,4,Pro-angiogenesis Macrophage,N
X227305168788900.N,3,Pro-angiogenesis Macrophage,N
X227305182906715.N,0,Effector/Memory CD4+ T cells,N
X227305183169756.N,2,Pro-angiogenesis Macrophage,N
X227305195498204.N,7,Macrophage,N
X227305195752349.N,2,Macrophage,N
X227305196009781.N,0,Effector/Memory CD4+ T cells,N
X227305214299494.N,5,Pro-angiogenesis Macrophage,N
X227305214393780.N,1,Effector/Memory CD4+ T cells,N
X227305214401374.N,4,Pro-angiogenesis Macrophage,N
X227305214404334.N,3,Pro-angiogenesis Macrophage,N
X227305214818614.N,2,Pro-angiogenesis Macrophage,N
X227305214917358.N,0,Effector/Memory CD4+ T cells,N
X227305215183580.N,7,Pro-angiogenesis Macrophage,N
X227354828729566.N,1,Effector/Memory CD8+ T cells,N
X227354829012277.N,6,Natural killer cell,N
X227354843700660.N,0,Naive CD4+ T cells,N
X227354843725037.N,1,CD4 or CD8 T cell,N
X227354844192180.N,6,Natural killer cell,N
X227354856310501.N,6,Natural killer cell,N
X227354856537014.N,6,Natural killer cell,N
X227354874927004.N,4,Pro-angiogenesis Macrophage,N
X227354875123438.N,0,Effector/Memory CD4+ T cells,N
X227354875188979.N,0,Effector/Memory CD4+ T cells,N
X227357125631205.N,0,Blood Cell,N
X227357125929381.N,1,Effector/Memory CD8+ T cells,N
X227357138053859.N,0,Effector/Memory CD4+ T cells,N
X227357138471725.N,0,Effector/Memory CD4+ T cells,N
X227357156661980.N,4,Blood Cell,N
X227363553494894.N,0,Effector/Memory CD4+ T cells,N
X227363567549851.N,3,Pro-angiogenesis Macrophage,N
X227363568081116.N,2,Pro-angiogenesis Macrophage,N
X227363568380267.N,3,Pro-angiogenesis Macrophage,N
X227363599076716.N,0,Effector/Memory CD4+ T cells,N
X227363599079661.N,8,Non Blood Cell,N
X227363599333277.N,3,Macrophage,N
X227364224329643.N,1,Effector/Memory CD8+ T cells,N
X227364224776092.N,7,Pro-angiogenesis Macrophage,N
X227364238702380.N,7,Macrophage,N
X227364252015907.N,4,Pro-angiogenesis Macrophage,N
X227364270913452.N,1,Effector/Memory CD8+ T cells,N
X227425427249580.N,2,Pro-angiogenesis Macrophage,N
X227425427306341.N,5,Macrophage,N
X227425427512605.N,7,Pro-angiogenesis Macrophage,N
X227425427580645.N,2,Pro-angiogenesis Macrophage,N
X227425441921388.N,3,Pro-angiogenesis Macrophage,N
X227425455041779.N,1,Effector/Memory CD8+ T cells,N
X227425455302902.N,2,Pro-angiogenesis Macrophage,N
X227425473719083.N,2,Pro-angiogenesis Macrophage,N
X227425473906547.N,3,Pro-angiogenesis Macrophage,N
X227425473915237.N,1,Effector/Memory CD4+ T cells,N
X227493073041836.N,6,Natural killer cell,N
X227493073767206.N,6,Natural killer cell,N
X227493087660973.N,2,Pro-angiogenesis Macrophage,N
X227493087931164.N,3,Pro-angiogenesis Macrophage,N
X227493088442613.N,2,Pro-angiogenesis Macrophage,N
X227493088447348.N,0,Effector/Memory CD4+ T cells,N
X227493101026549.N,0,Effector/Memory CD4+ T cells,N
X227510387100596.N,2,Pro-angiogenesis Macrophage,N
X227510387370860.N,1,Effector/Memory CD4+ T cells,N
X227510387592558.N,0,Blood Cell,N
X227510414687478.N,0,Effector/Memory CD4+ T cells,N
X227510415121196.N,6,Natural killer cell,N
X227510433565107.N,3,Pro-angiogenesis Macrophage,N
X227516829519260.N,4,Pro-angiogenesis Macrophage,N
X227516844206878.N,3,Macrophage,N
X227516844758748.N,3,Pro-angiogenesis Macrophage,N
X227516844993758.N,6,Natural killer cell,N
X227516857370924.N,2,Pro-angiogenesis Macrophage,N
X227516857568045.N,2,Pro-angiogenesis Macrophage,N
X227516857669541.N,1,Effector/Memory CD8+ T cells,N
X227516875684765.N,1,Effector/Memory CD4+ T cells,N
X227516875754214.N,3,Pro-angiogenesis Macrophage,N
X227844201342899.N,3,Pro-angiogenesis Macrophage,N
X227844201797340.N,1,CD8 T or NK cell,N
X227844214152477.N,13,Lung Cancer Cell,N
X227844214704878.N,3,Pro-angiogenesis Macrophage,N
X227844233549605.N,0,Effector/Memory CD4+ T cells,N
X227844233574646.N,6,Natural killer cell,N
X227846603008429.N,7,Macrophage,N
X227846603073333.N,1,Natural killer cell,N
X227846603356470.N,2,Pro-angiogenesis Macrophage,N
X227846603361117.N,2,Pro-angiogenesis Macrophage,N
X227846617479454.N,4,Pro-angiogenesis Macrophage,N
X227846617774452.N,1,Effector/Memory CD4+ T cells,N
X227846630566318.N,0,Effector/Memory CD4+ T cells,N
X227846630595315.N,2,Pro-angiogenesis Macrophage,N
X227846648940845.N,3,Pro-angiogenesis Macrophage,N
X227846649441652.N,1,CD4 or CD8 T cell,N
X227853850557347.N,2,Pro-angiogenesis Macrophage,N
X227853850569123.N,0,Blood Cell,N
X227853850602853.N,4,Macrophage,N
X227853865212635.N,1,CD8 T or NK cell,N
X227853865236781.N,8,Any Cell,N
X227853877599590.N,2,Pro-angiogenesis Macrophage,N
X227853877856990.N,1,Effector/Memory CD8+ T cells,N
X227853896445237.N,0,Effector/Memory CD4+ T cells,N
X227853896702365.N,13,Lung Cancer Cell,N
X227853896705900.N,4,Pro-angiogenesis Macrophage,N
X227853896891827.N,4,Macrophage,N
X227853896956771.N,6,Natural killer cell,N
X227853896968540.N,13,Lung Cancer Cell,N
X227853897231140.N,3,Pro-angiogenesis Macrophage,N
X227903376833843.N,6,Natural killer cell,N
X227903376943019.N,2,Pro-angiogenesis Macrophage,N
X227903391352756.N,2,Pro-angiogenesis Macrophage,N
X227903392083315.N,1,Effector/Memory CD8+ T cells,N
X227903392140701.N,2,Pro-angiogenesis Macrophage,N
X227921630545780.N,4,Macrophage,N
X227921645693291.N,6,Natural killer cell,N
X227921657514718.N,3,Pro-angiogenesis Macrophage,N
X227921657517860.N,3,Pro-angiogenesis Macrophage,N
X227921658264942.N,6,Natural killer cell,N
X227921676659485.N,2,Pro-angiogenesis Macrophage,N
X227930489153333.N,13,Lung Cancer Cell,N
X227930503592291.N,6,Natural killer cell,N
X227930516146926.N,1,Effector/Memory CD8+ T cells,N
X227930516707237.N,2,Pro-angiogenesis Macrophage,N
X227930535581421.N,1,CD4 or CD8 T cell,N
X227973438224811.N,3,Pro-angiogenesis Macrophage,N
X227973438494646.N,1,Effector/Memory CD8+ T cells,N
X227973438762285.N,3,Pro-angiogenesis Macrophage,N
X227973438860012.N,0,Effector/Memory CD4+ T cells,N
X227973453015902.N,0,Naive CD4+ T cells,N
X227973453179755.N,7,Pro-inflammatory Macrophage,N
X227973453704414.N,3,Pro-angiogenesis Macrophage,N
X227973466310454.N,2,Pro-angiogenesis Macrophage,N
X227973466344221.N,1,Effector/Memory CD4+ T cells,N
X227975317547230.N,1,Effector/Memory CD4+ T cells,N
X227975317875619.N,3,Pro-angiogenesis Macrophage,N
X227975332256046.N,11,cDC2,N
X227975344545053.N,3,Pro-angiogenesis Macrophage,N
X227975345068958.N,3,Pro-angiogenesis Macrophage,N
X227975345098139.N,7,Macrophage,N
X227975363513699.N,0,Effector/Memory CD4+ T cells,N
X227975363980190.N,3,Pro-angiogenesis Macrophage,N
X227981759998174.N,2,Pro-angiogenesis Macrophage,N
X227981760088491.N,4,Pro-angiogenesis Macrophage,N
X227981760547229.N,4,Pro-angiogenesis Macrophage,N
X227981774764387.N,4,Macrophage,N
X227981775264990.N,2,Pro-angiogenesis Macrophage,N
X227981787588532.N,1,CD8 T or NK cell,N
X227981787879851.N,6,Natural killer cell,N
X227981805868916.N,0,Effector/Memory CD8+ T cells,N
X227981805934381.N,1,Effector/Memory CD8+ T cells,N
X227982967789339.N,0,Effector/Memory CD4+ T cells,N
X227982983227316.N,0,Effector/Memory CD4+ T cells,N
X227982995733797.N,8,Lung Cancer Cell,N
X227983013862172.N,0,CD4+ T cell,N
X227983014672685.N,6,Natural killer cell,N
X227990483982684.N,4,Pro-angiogenesis Macrophage,N
X227990484240622.N,6,Natural killer cell,N
X227990484405677.N,3,Pro-angiogenesis Macrophage,N
X227990484737332.N,8,CAFinfla,N
X227990498856348.N,3,Pro-angiogenesis Macrophage,N
X227990498859310.N,2,Pro-angiogenesis Macrophage,N
X227990499178859.N,15,pDC,N
X227990499445157.N,6,Natural killer cell,N
X227990511180084.N,1,CD8 T or NK cell,N
X227990511245598.N,3,Pro-angiogenesis Macrophage,N
X227990511249828.N,3,Pro-angiogenesis Macrophage,N
X227990511480035.N,1,CD4 or CD8 T cell,N
X227990511701403.N,1,CD4 or CD8 T cell,N
X227991423412459.N,3,Pro-angiogenesis Macrophage,N
X227991424195885.N,3,Pro-angiogenesis Macrophage,N
X227991438449972.N,2,Pro-angiogenesis Macrophage,N
X227991438613812.N,2,Pro-angiogenesis Macrophage,N
X227991451027804.N,1,Effector/Memory CD4+ T cells,N
X227991451297652.N,4,Pro-angiogenesis Macrophage,N
X227991451482350.N,4,Pro-angiogenesis Macrophage,N
X227991470357723.N,2,Pro-angiogenesis Macrophage,N
X228042023818996.N,3,Pro-angiogenesis Macrophage,N
X228042024348580.N,2,Pro-angiogenesis Macrophage,N
X228042038503284.N,4,Pro-angiogenesis Macrophage,N
X228042039057124.N,4,Macrophage,N
X228042051270493.N,7,Pro-angiogenesis Macrophage,N
X228042069883805.N,2,Pro-angiogenesis Macrophage,N
X228042070179235.N,3,Pro-angiogenesis Macrophage,N
X228042070256052.N,6,Natural killer cell,N
X230592295155550.N,1,Effector/Memory CD8+ T cells,N
X230592341293990.N,1,Effector/Memory CD8+ T cells,N
X230592341461342.N,2,Pro-angiogenesis Macrophage,N
X230611622411187.N,2,Pro-angiogenesis Macrophage,N
X230611622508332.N,3,Pro-angiogenesis Macrophage,N
X230611622713708.N,2,Pro-angiogenesis Macrophage,N
X230611622775139.N,3,Pro-angiogenesis Macrophage,N
X230611636631987.N,3,Pro-angiogenesis Macrophage,N
X230611636640094.N,4,Pro-angiogenesis Macrophage,N
X230611637362100.N,6,Natural killer cell,N
X230611649181598.N,2,Pro-angiogenesis Macrophage,N
X230611649673067.N,5,Pro-angiogenesis Macrophage,N
X230611650012894.N,0,Blood Cell,N
X230611668653861.N,6,Natural killer cell,N
X230611668916451.N,12,Endothelial Cells,N
X230652424710435.N,7,Macrophage,N
X230652438756763.N,6,Natural killer cell,N
X230652439025518.N,2,Pro-angiogenesis Macrophage,N
X230652451699958.N,4,Macrophage,N
X230654437379309.N,3,Pro-angiogenesis Macrophage,N
X230654437379500.N,3,Pro-angiogenesis Macrophage,N
X230654437383476.N,2,Pro-angiogenesis Macrophage,N
X230654437681974.N,2,Pro-angiogenesis Macrophage,N
X230654437865900.N,3,Pro-angiogenesis Macrophage,N
X230654437874083.N,0,Effector/Memory CD4+ T cells,N
X230654452911454.N,2,Pro-angiogenesis Macrophage,N
X230654464936804.N,1,Effector/Memory CD4+ T cells,N
X230654483490723.N,1,Effector/Memory CD8+ T cells,N
X230654484037027.N,4,Pro-angiogenesis Macrophage,N
X230654484048804.N,1,Effector/Memory CD8+ T cells,N
X230732687161181.N,0,Effector/Memory CD4+ T cells,N
X230732701284653.N,0,Blood Cell,N
X230732701527348.N,1,Effector/Memory CD8+ T cells,N
X230732701550493.N,4,Blood Cell,N
X230732732783926.N,2,Pro-angiogenesis Macrophage,N
X230732732950262.N,0,Effector/Memory CD4+ T cells,N
X230732733016412.N,0,Effector/Memory CD4+ T cells,N
X230741410802030.N,4,Naive CD4+ T cells,N
X230741411294116.N,6,Natural killer cell,N
X230741425732891.N,2,Pro-angiogenesis Macrophage,N
X230741438224812.N,4,Pro-angiogenesis Macrophage,N
X230741438286124.N,1,Natural killer cell,N
X230741438516140.N,2,Pro-angiogenesis Macrophage,N
X230741456902557.N,12,Endothelial Cells,N
X230741457095987.N,9,Pro-angiogenesis Macrophage,N
X230749732461412.N,7,Macrophage,N
X230749747197878.N,0,Effector/Memory CD4+ T cells,N
X230749747201901.N,3,Pro-angiogenesis Macrophage,N
X230749759551387.N,7,Pro-inflammatory Macrophage,N
X230749759719772.N,6,Natural killer cell,N
X230749760019683.N,2,Pro-angiogenesis Macrophage,N
X230749778594147.N,2,Pro-angiogenesis Macrophage,N
X230749778623907.N,3,Pro-angiogenesis Macrophage,N
X230749778700060.N,0,Effector/Memory CD4+ T cells,N
X230799407433588.N,7,Macrophage,N
X230799407496429.N,1,Effector/Memory CD8+ T cells,N
X230799420340645.N,1,CD8 T or NK cell,N
X230799420549854.N,0,Effector/Memory CD4+ T cells,N
X230799438732086.N,1,Effector/Memory CD8+ T cells,N
X230799438896547.N,2,Pro-angiogenesis Macrophage,N
X230799439453620.N,0,Effector/Memory CD4+ T cells,N
X230800332049771.N,8,Lung Cancer Cell,N
X230800332381468.N,7,Pro-inflammatory Macrophage,N
X230800332544757.N,2,Pro-angiogenesis Macrophage,N
X230800332548830.N,2,Pro-angiogenesis Macrophage,N
X230800332798774.N,3,Macrophage,N
X230800346986861.N,2,Pro-angiogenesis Macrophage,N
X230800347322787.N,2,Pro-angiogenesis Macrophage,N
X230800359574836.N,11,LAMP3 cDC,N
X230800378419996.N,3,Pro-angiogenesis Macrophage,N
X230807863179997.N,3,Pro-angiogenesis Macrophage,N
X230807876029299.N,8,Lung Cancer Cell,N
X230807894441396.N,0,Effector/Memory CD4+ T cells,N
X230807894616420.N,0,Effector/Memory CD4+ T cells,N
X230807894669747.N,13,Lung Cancer Cell,N
X230809056688556.N,4,Macrophage,N
X230809056982940.N,6,Natural killer cell,N
X230809071150940.N,0,Effector/Memory CD4+ T cells,N
X230809071208749.N,4,Macrophage,N
X230809083952347.N,11,LAMP3 cDC,N
X230809083988851.N,7,Macrophage,N
X230809084245806.N,3,Pro-angiogenesis Macrophage,N
X230809102378795.N,2,Pro-angiogenesis Macrophage,N
X230809102576420.N,2,Phagocytosis Macrophage,N
X230816706881963.N,2,Pro-angiogenesis Macrophage,N
X230816706946987.N,7,Pro-inflammatory Macrophage,N
X230816706948453.N,2,Pro-angiogenesis Macrophage,N
X230816721299891.N,1,Natural killer cell,N
X230816721325299.N,4,Pro-angiogenesis Macrophage,N
X230816734103789.N,6,Natural killer cell,N
X230816734402332.N,13,Lung Cancer Cell,N
X230816734440860.N,2,Pro-angiogenesis Macrophage,N
X230816734624685.N,3,Pro-angiogenesis Macrophage,N
X230816734670052.N,2,Pro-angiogenesis Macrophage,N
X230816752752421.N,3,Pro-angiogenesis Macrophage,N
X230816753080563.N,2,Pro-angiogenesis Macrophage,N
X230816753335724.N,1,CD4 or CD8 T cell,N
X231270765221622.N,9,Pro-angiogenesis Macrophage,N
X231270792775604.N,2,Pro-angiogenesis Macrophage,N
X231270812080045.N,6,CD8 T or NK cell,N
X231279489563574.N,1,Effector/Memory CD8+ T cells,N
X231279490161972.N,15,pDC,N
X231279504505267.N,6,Natural killer cell,N
X231279535708445.N,4,Pro-angiogenesis Macrophage,N
X231279536064357.N,3,Pro-angiogenesis Macrophage,N
X231280294615403.N,1,Effector/Memory CD4+ T cells,N
X231280294877083.N,6,Natural killer cell,N
X231280295401270.N,2,Pro-angiogenesis Macrophage,N
X231280295459182.N,0,Effector/Memory CD4+ T cells,N
X231280309353332.N,15,pDC,N
X231280309393203.N,3,Pro-angiogenesis Macrophage,N
X231280341051700.N,4,Pro-angiogenesis Macrophage,N
X231291300789683.N,0,T regulatory cells,N
X231291301082924.N,6,Natural killer cell,N
X231291301091038.N,7,Pro-inflammatory Macrophage,N
X231291315480348.N,2,Pro-angiogenesis Macrophage,N
X231291327757227.N,0,Effector/Memory CD4+ T cells,N
X231291328280875.N,1,Effector/Memory CD4+ T cells,N
X231291328289692.N,3,Pro-angiogenesis Macrophage,N
X231291346631518.N,7,Pro-angiogenesis Macrophage,N
X231291347490541.N,1,Effector/Memory CD4+ T cells,N
X231291347495134.N,3,Pro-angiogenesis Macrophage,N
X231340573080821.N,7,Macrophage,N
X231340573157740.N,2,Pro-angiogenesis Macrophage,N
X231340573383579.N,3,Pro-angiogenesis Macrophage,N
X231340573412211.N,7,Pro-inflammatory Macrophage,N
X231340573580517.N,0,Effector/Memory CD4+ T cells,N
X231340585707443.N,4,Macrophage,N
X231340586264427.N,13,Lung Cancer Cell,N
X231340604504987.N,12,Endothelial Cells,N
X231365389212020.N,7,Macrophage,N
X231365389272942.N,3,Pro-angiogenesis Macrophage,N
X231365389277429.N,3,Pro-angiogenesis Macrophage,N
X231365403690790.N,3,Pro-angiogenesis Macrophage,N
X231365403858795.N,0,Effector/Memory CD4+ T cells,N
X231365403859164.N,2,Pro-angiogenesis Macrophage,N
X231365403859171.N,8,Lung Cancer Cell,N
X231365415975781.N,1,Effector/Memory CD4+ T cells,N
X231365416434907.N,2,Pro-angiogenesis Macrophage,N
X231365416537444.N,4,Macrophage,N
X231365435673949.N,0,Effector/Memory CD4+ T cells,N
X231366194485667.N,7,Pro-angiogenesis Macrophage,N
X231366208674542.N,1,Effector/Memory CD8+ T cells,N
X231366208994668.N,2,Pro-angiogenesis Macrophage,N
X231366209166630.N,2,Pro-angiogenesis Macrophage,N
X231366222007019.N,1,CD4 or CD8 T cell,N
X231366240393966.N,4,Pro-angiogenesis Macrophage,N
X231366240983267.N,0,Effector/Memory CD4+ T cells,N
X231692880275891.N,2,Pro-angiogenesis Macrophage,N
X231692880767836.N,1,Effector/Memory CD8+ T cells,N
X231692894948211.N,1,Effector/Memory CD8+ T cells,N
X231692895108508.N,2,Pro-angiogenesis Macrophage,N
X231692895177012.N,2,Pro-angiogenesis Macrophage,N
X231692907206892.N,2,Pro-angiogenesis Macrophage,N
X231692907956534.N,3,Pro-angiogenesis Macrophage,N
X231711804602790.N,3,Pro-angiogenesis Macrophage,N
X231711804669173.N,2,Pro-angiogenesis Macrophage,N
X231711804675932.N,4,Pro-angiogenesis Macrophage,N
X231711804902765.N,13,Lung Cancer Cell,N
X231711805434789.N,6,Natural killer cell,N
X231711805463275.N,2,Pro-angiogenesis Macrophage,N
X231711819287388.N,2,Pro-angiogenesis Macrophage,N
X231711819361563.N,0,Blood Cell,N
X231711819557739.N,6,Natural killer cell,N
X231711819615588.N,0,Effector/Memory CD4+ T cells,N
X231711820110580.N,2,Pro-angiogenesis Macrophage,N
X231711832131436.N,1,Natural killer cell,N
X231711832205603.N,3,Pro-angiogenesis Macrophage,N
X231711850740662.N,1,Effector/Memory CD8+ T cells,N
X231711851046771.N,2,Pro-angiogenesis Macrophage,N
X231754889059764.N,4,Naive CD4+ T cells,N
X231754903738269.N,1,Effector/Memory CD4+ T cells,N
X231754915765166.N,7,Pro-angiogenesis Macrophage,N
X231754915867379.N,2,Pro-angiogenesis Macrophage,N
X231754934635379.N,4,Pro-angiogenesis Macrophage,N
X231760525638059.N,0,Effector/Memory CD4+ T cells,N
X231760525715182.N,6,Natural killer cell,N
X231760525905259.N,1,Effector/Memory CD4+ T cells,N
X231760540387747.N,0,Naive CD4+ T cells,N
X231760540588389.N,0,Effector/Memory CD4+ T cells,N
X231760553695476.N,0,Blood Cell,N
X231760572344622.N,8,Endothelial Cells,N
X231760572401459.N,3,Pro-angiogenesis Macrophage,N
X231760572636579.N,1,Effector/Memory CD8+ T cells,N
X231770055661940.N,3,Pro-angiogenesis Macrophage,N
X231770055895323.N,1,Effector/Memory CD4+ T cells,N
X231770055948126.N,3,Pro-angiogenesis Macrophage,N
X231770055960878.N,14,Mast cell,N
X231770055981339.N,0,Effector/Memory CD4+ T cells,N
X231770070399404.N,6,Natural killer cell,N
X231770070411493.N,5,Pro-angiogenesis Macrophage,N
X231770082425701.N,0,Pro-angiogenesis Macrophage,N
X231770083224299.N,2,Pro-angiogenesis Macrophage,N
X231770101332396.N,7,Pro-inflammatory Macrophage,N
X231822817672555.N,0,Effector/Memory CD4+ T cells,N
X231822817676515.N,11,Macrophage or Dendritic Cell,N
X231822830229291.N,0,Effector/Memory CD4+ T cells,N
X231822830753644.N,1,Effector/Memory CD4+ T cells,N
X231822830824244.N,0,CD4 or CD8 T cell,N
X231822849097131.N,2,Pro-angiogenesis Macrophage,N
X231822849141547.N,2,Pro-angiogenesis Macrophage,N
X231890180000990.N,3,Pro-angiogenesis Macrophage,N
X231890180492654.N,11,cDC2,N
X231890180597605.N,4,Pro-angiogenesis Macrophage,N
X231890194982763.N,2,Pro-angiogenesis Macrophage,N
X231890226404715.N,0,Blood Cell,N
X231891388259621.N,6,Natural killer cell,N
X231891388484972.N,3,Pro-angiogenesis Macrophage,N
X231891402872549.N,2,Pro-angiogenesis Macrophage,N
X231891403127219.N,0,Effector/Memory CD4+ T cells,N
X231891434388710.N,0,Effector/Memory CD4+ T cells,N
X231891434596709.N,1,CD4 or CD8 T cell,N
X231897696155998.N,3,Pro-angiogenesis Macrophage,N
X231897696459051.N,6,Natural killer cell,N
X231897696987939.N,2,Pro-angiogenesis Macrophage,N
X231897697020635.N,1,Effector/Memory CD8+ T cells,N
X231897711668147.N,2,Pro-angiogenesis Macrophage,N
X231897723423987.N,4,Any Cell,N
X231897742404333.N,0,Naive CD4+ T cells,N
X231897742621982.N,0,Blood Cell,N
X231897742634334.N,3,Pro-angiogenesis Macrophage,N
X231897742850923.N,0,Blood Cell,N
X231900126829342.N,1,Effector/Memory CD4+ T cells,N
X231900126861021.N,2,Pro-angiogenesis Macrophage,N
X231900139678444.N,3,Pro-angiogenesis Macrophage,N
X231900158291166.N,1,Effector/Memory CD8+ T cells,N
X231900158539614.N,1,Effector/Memory CD4+ T cells,N
X231900158551899.N,2,Pro-angiogenesis Macrophage,N
X231900158741811.N,11,Macrophage,N
X231900159002974.N,1,Effector/Memory CD4+ T cells,N
X231907628572060.N,0,Effector/Memory CD4+ T cells,N
X231907643578598.N,7,Pro-angiogenesis Macrophage,N
X231907643767668.N,2,Pro-angiogenesis Macrophage,N
X231907655833387.N,3,Pro-angiogenesis Macrophage,N
X231907656355102.N,1,Effector/Memory CD4+ T cells,N
X231907674996134.N,6,Natural killer cell,N
X231917023546731.N,2,Pro-angiogenesis Macrophage,N
X231917023554860.N,1,Effector/Memory CD8+ T cells,N
X231917023574948.N,2,Pro-angiogenesis Macrophage,N
X231917023868723.N,0,Effector/Memory CD4+ T cells,N
X231917023870172.N,3,Pro-angiogenesis Macrophage,N
X231917024069491.N,3,Pro-angiogenesis Macrophage,N
X231917038722277.N,7,Macrophage,N
X231917051566892.N,3,Pro-angiogenesis Macrophage,N
X232261694974259.N,4,Pro-angiogenesis Macrophage,N
X232261694975204.N,3,Pro-angiogenesis Macrophage,N
X232261695260979.N,0,CD4 or CD8 T cell,N
X232261709319604.N,6,Natural killer cell,N
X232261710109478.N,0,Effector/Memory CD4+ T cells,N
X232261722200947.N,9,Pro-angiogenesis Macrophage,N
X232261722519454.N,1,Effector/Memory CD4+ T cells,N
X232261722684766.N,4,Blood Cell,N
X232261740883230.N,2,Pro-angiogenesis Macrophage,N
X232261741402036.N,2,Pro-angiogenesis Macrophage,N
X232301289135350.N,0,Naive CD4+ T cells,N
X232301289199859.N,7,Pro-inflammatory Macrophage,N
X232301289200996.N,3,Pro-angiogenesis Macrophage,N
X232301303589660.N,0,Effector/Memory CD4+ T cells,N
X232301303590252.N,6,Natural killer cell,N
X232301303815006.N,3,Pro-angiogenesis Macrophage,N
X232301303819683.N,0,Effector/Memory CD8+ T cells,N
X232301316401012.N,8,Non Blood Cell,N
X232301335042342.N,3,Pro-angiogenesis Macrophage,N
X232302631827252.N,15,pDC,N
X232302631831901.N,2,Phagocytosis Macrophage,N
X232302646049069.N,6,Natural killer cell,N
X232302658636077.N,15,pDC,N
X232302658668468.N,3,Pro-angiogenesis Macrophage,N
X232302658865509.N,3,Pro-angiogenesis Macrophage,N
X232302677482277.N,11,cDC1,N
X232311355231469.N,6,Natural killer cell,N
X232311355292460.N,4,Pro-angiogenesis Macrophage,N
X232311355297051.N,1,Effector/Memory CD4+ T cells,N
X232311355557748.N,2,Pro-angiogenesis Macrophage,N
X232311355751213.N,4,Macrophage,N
X232311356025566.N,2,Pro-angiogenesis Macrophage,N
X232311370143461.N,2,Pro-angiogenesis Macrophage,N
X232311370149221.N,3,Pro-angiogenesis Macrophage,N
X232311382525678.N,2,Pro-angiogenesis Macrophage,N
X232311382994163.N,1,Natural killer cell,N
X232311383247158.N,4,Pro-angiogenesis Macrophage,N
X232311383280556.N,3,Pro-angiogenesis Macrophage,N
X232311401442155.N,0,Effector/Memory CD4+ T cells,N
X232311401666973.N,0,Effector/Memory CD4+ T cells,N
X232311401867676.N,3,Pro-angiogenesis Macrophage,N
X232318603807668.N,0,Effector/Memory CD8+ T cells,N
X232318617930477.N,13,Lung Cancer Cell,N
X232318617991523.N,6,Natural killer cell,N
X232318630222237.N,0,Effector/Memory CD4+ T cells,N
X232318630324638.N,2,Pro-angiogenesis Macrophage,N
X232318630586715.N,3,Pro-angiogenesis Macrophage,N
X232318631008500.N,2,Pro-angiogenesis Macrophage,N
X232318649355635.N,3,Pro-angiogenesis Macrophage,N
X232318649363811.N,0,Blood Cell,N
X232318649882341.N,13,Lung Cancer Cell,N
X232321018935141.N,4,Pro-angiogenesis Macrophage,N
X232321018977501.N,6,Natural killer cell,N
X232321019166005.N,3,Pro-angiogenesis Macrophage,N
X232321019394469.N,0,Effector/Memory CD4+ T cells,N
X232321034144173.N,0,Effector/Memory CD4+ T cells,N
X232321034447131.N,2,Pro-angiogenesis Macrophage,N
X232321046472629.N,8,Lung Cancer Cell,N
X232321046694771.N,3,Pro-angiogenesis Macrophage,N
X232321065273772.N,0,Effector/Memory CD4+ T cells,N
X232321065380788.N,3,Pro-angiogenesis Macrophage,N
X232321065860398.N,3,Pro-angiogenesis Macrophage,N
X232321065896819.N,0,Effector/Memory CD4+ T cells,N
X232327461890422.N,2,Pro-angiogenesis Macrophage,N
X232327476336355.N,2,Pro-angiogenesis Macrophage,N
X232327488858462.N,2,Pro-angiogenesis Macrophage,N
X232327489447667.N,1,Effector/Memory CD4+ T cells,N
X232327507824028.N,3,Pro-angiogenesis Macrophage,N
X232328266729781.N,1,Effector/Memory CD8+ T cells,N
X232328281377115.N,7,Macrophage,N
X232328282159910.N,9,Pro-angiogenesis Macrophage,N
X232328294459299.N,1,Effector/Memory CD4+ T cells,N
X232328294717668.N,2,Pro-angiogenesis Macrophage,N
X232328312776422.N,4,Pro-angiogenesis Macrophage,N
X232328312837933.N,4,Naive CD4+ T cells,N
X232328313072556.N,3,Pro-angiogenesis Macrophage,N
X232328313289014.N,0,Effector/Memory CD4+ T cells,N
X232328313399006.N,3,Pro-angiogenesis Macrophage,N
X232330279970675.N,2,Pro-angiogenesis Macrophage,N
X232330280266163.N,2,Pro-angiogenesis Macrophage,N
X232330280689059.N,6,Natural killer cell,N
X232330294671220.N,4,Macrophage,N
X232330295424742.N,1,Effector/Memory CD4+ T cells,N
X232330307267941.N,2,Pro-angiogenesis Macrophage,N
X232330307524899.N,3,Pro-angiogenesis Macrophage,N
X232330326338285.N,11,Phagocytosis Macrophage,N
X232330326858091.N,0,Effector/Memory CD4+ T cells,N
X232438996351277.N,3,Pro-angiogenesis Macrophage,N
X232439011043692.N,7,Macrophage,N
X232439023622046.N,3,Pro-angiogenesis Macrophage,N
X232439023781733.N,8,Lung Cancer Cell,N
X232439024335779.N,8,Normal Fibroblast,N
X232439024343342.N,7,Pro-angiogenesis Macrophage,N
X232439042987828.N,3,Pro-angiogenesis Macrophage,N
X232449734008164.N,2,Pro-angiogenesis Macrophage,N
X232449734461275.N,3,Pro-angiogenesis Macrophage,N
X232449761299253.N,7,Pro-inflammatory Macrophage,N
X232449779809581.N,0,Lung Cancer Cell,N
X232449780136371.N,0,Effector/Memory CD4+ T cells,N
