cell,cell_type,sample_type
X200562823251877.T,T regulatory cells,T
X200562823314660.T,CD8+ T cell,T
X200562837437796.T,CD4+ T cell,T
X200562837707483.T,Exhausted CD8+ T cells,T
X200562850511661.T,CD4+ T cell,T
X200562869128109.T,Macrophage,T
X200563762583284.T,Natural killer cell,T
X200563777779637.T,CD4+ T cell,T
X200563789581149.T,Effector/Memory CD8+ T cells,T
X200563808418717.T,CD4+ T cell,T
X200563809217894.T,Naive CD4+ T cells,T
X200563809245604.T,Macrophage,T
X200570473658789.T,Pancreatic Cancer Cell,T
X200570487851750.T,CD4+ T cell,T
X200570488088420.T,CD8 T or NK cell,T
X200570488669998.T,B Cell,T
X200570500431276.T,B Cell,T
X200570500470636.T,T regulatory cells,T
X200570501261557.T,Effector/Memory CD8+ T cells,T
X200570519611244.T,Pancreatic Cancer Cell,T
X200570519840686.T,Effector/Memory CD8+ T cells,T
X200570519901941.T,Exhausted CD8+ T cells,T
X200570520092068.T,Macrophage or Dendritic Cell,T
X200899038701942.T,Effector/Memory CD4+ T cells,T
X200899053373292.T,Mast cell,T
X200899065691446.T,Phagocytosis Macrophage,T
X200899065699637.T,Any Cell,T
X200899065703134.T,Natural killer cell,T
X200899065734891.T,Non Blood Cell,T
X200899066226542.T,Exhausted CD8+ T cells,T
X200899084339635.T,CD4+ T cell,T
X200899084344102.T,CD4 or CD8 T cell,T
X200899085088684.T,Effector/Memory CD8+ T cells,T
X200899085090212.T,Macrophage,T
X200922526279454.T,Exhausted CD8+ T cells,T
X200922540980638.T,B Cell,T
X200922541250358.T,CAFinfla,T
X200922541451507.T,Macrophage,T
X200922541735198.T,CD4+ T cell,T
X200922554124699.T,CD8+ T cell,T
X200922572384163.T,Macrophage,T
X200922572442035.T,CD4+ T cell,T
X200922572445980.T,B Cell,T
X200922572732262.T,CD4+ T cell,T
X200922573196635.T,Normal Fibroblast,T
X200922573260723.T,Exhausted CD8+ T cells,T
X200967489435894.T,Exhausted CD8+ T cells,T
X200967516777699.T,CD4 or CD8 T cell,T
X200967535614238.T,T regulatory cells,T
X200967535647133.T,Effector/Memory CD4+ T cells,T
X200967535652123.T,Endothelial Cells,T
X200974066112438.T,B Cell,T
X200974066636588.T,Effector/Memory CD8+ T cells,T
X200974066641179.T,Pancreatic Cancer Cell,T
X200974080628964.T,CD4+ T cell,T
X200974093371244.T,CAFmyo,T
X200974112340892.T,CAFadi,T
X200974112841051.T,CD4 or CD8 T cell,T
X200983461087133.T,Blood Cell,T
X200983461149100.T,T regulatory cells,T
X200983461189980.T,Exhausted CD8+ T cells,T
X200983476096220.T,CD4+ T cell,T
X200983507495771.T,Pancreatic Cancer Cell,T
X200994198511019.T,CAFmyo,T
X200994198842596.T,B Cell,T
X200994213185454.T,Blood Cell,T
X200994213969269.T,Effector/Memory CD8+ T cells,T
X200994213976355.T,Phagocytosis Macrophage,T
X200994214075804.T,Phagocytosis Macrophage,T
X200994225773486.T,Exhausted CD8+ T cells,T
X200994225810731.T,B Cell,T
X200994226584501.T,B Cell,T
X200994244905332.T,B Cell,T
X200994245490542.T,Phagocytosis Macrophage,T
X201111639080163.T,T regulatory cells,T
X201111639088052.T,Exhausted CD8+ T cells,T
X201111639091940.T,Effector/Memory CD8+ T cells,T
X201111639308725.T,CD4 or CD8 T cell,T
X201111685220787.T,CD4+ T cell,T
X201111685679477.T,CD4+ T cell,T
X201114458373411.T,CD8+ T cell,T
X201114472303334.T,Phagocytosis Macrophage,T
X201114472335277.T,CAFinfla,T
X201114472626916.T,Effector/Memory CD8+ T cells,T
X201114484885862.T,Macrophage,T
X201114485119270.T,Effector/Memory CD4+ T cells,T
X201114504317355.T,CD4 or CD8 T cell,T
X201465571948461.T,CD8+ T cell,T
X201465586142638.T,CD4+ T cell,T
X201465586706356.T,CD4 or CD8 T cell,T
X201465599015333.T,Pro-angiogenesis Macrophage,T
X201465599052517.T,B Cell,T
X201465617370398.T,CD4+ T cell,T
X201474295327027.T,B Cell,T
X201474295426284.T,Effector/Memory CD8+ T cells,T
X201474295586038.T,T regulatory cells,T
X201474295917475.T,Effector/Memory CD8+ T cells,T
X201474310064349.T,Blood Cell,T
X201474310069148.T,Pro-angiogenesis Macrophage,T
X201474342312356.T,B Cell,T
X201523580548845.T,Effector/Memory CD8+ T cells,T
X201523580754214.T,Tfh/Th1 helper CD4+ T cells,T
X201523581016355.T,Exhausted CD8+ T cells,T
X201585830254499.T,B Cell,T
X201585831078622.T,Exhausted CD8+ T cells,T
X201585857775853.T,Effector/Memory CD4+ T cells,T
X201585857805662.T,Exhausted CD8+ T cells,T
X201585857808181.T,T regulatory cells,T
X201595493957045.T,CD4 or CD8 T cell,T
X201595494250342.T,Exhausted CD8+ T cells,T
X201595508644075.T,Macrophage,T
X201595508868917.T,CD4 or CD8 T cell,T
X201595521484637.T,CD4+ T cell,T
X201595540916526.T,B Cell,T
X201670670896486.T,Exhausted CD8+ T cells,T
X201670683711261.T,CAFmyo,T
X201670683737310.T,B Cell,T
X201670702774700.T,T regulatory cells,T
X204213411240804.T,B Cell,T
X204213411568948.T,CD8+ T cell,T
X204213425720222.T,T regulatory cells,T
X204213426183604.T,T regulatory cells,T
X204213457214774.T,Natural killer cell,T
X204213457479963.T,CD8+ T cell,T
X204213457738532.T,B Cell,T
X204224148458293.T,Effector/Memory CD8+ T cells,T
X204224148649773.T,CD8+ T cell,T
X204224148728739.T,B Cell,T
X204224163634590.T,Exhausted CD8+ T cells,T
X204224163659045.T,B Cell,T
X204224175725363.T,Macrophage,T
X204351789451565.T,CD4+ T cell,T
X204351804718373.T,B Cell,T
X204351816461622.T,B Cell,T
X204351816555748.T,CD4+ T cell,T
X204351816813998.T,B Cell,T
X204351817013020.T,CD4 or CD8 T cell,T
X204351835683740.T,CD4 or CD8 T cell,T
X204351836116709.T,CD8+ T cell,T
X204351836215589.T,Pro-angiogenesis Macrophage,T
X204358231645020.T,Exhausted CD8+ T cells,T
X204358231713651.T,CAFmyo,T
X204358232521947.T,CD8+ T cell,T
X204358259456299.T,LAMP3 cDC,T
X204358259527078.T,Any Cell,T
X204358278043933.T,Phagocytosis Macrophage,T
X204359588566966.T,CD4+ T cell,T
X204359588822253.T,CD4+ T cell,T
X204359601110444.T,Tfh/Th1 helper CD4+ T cells,T
X204359620549916.T,B Cell,T
X204360513861406.T,CD4 or CD8 T cell,T
X204360528293294.T,B Cell,T
X204360528549604.T,B Cell,T
X204360559515429.T,CD8+ T cell,T
X204360559807221.T,CD8+ T cell,T
X204360560364315.T,Exhausted CD8+ T cells,T
X204403329100580.T,Macrophage,T
X204403329316638.T,Macrophage,T
X204403329619755.T,Macrophage,T
X204403343735222.T,Exhausted CD8+ T cells,T
X204403344264604.T,Exhausted CD8+ T cells,T
X204403356125918.T,Mast cell,T
X204403356130100.T,CD8+ T cell,T
X204403356322029.T,Effector/Memory CD8+ T cells,T
X204403356678883.T,Endothelial Cells,T
X204403375036846.T,CD4+ T cell,T
X204403375295925.T,Phagocytosis Macrophage,T
X204403375749939.T,B Cell,T
X204427085436636.T,Macrophage,T
X204427085933475.T,Exhausted CD8+ T cells,T
X204427086186269.T,Macrophage,T
X204427086215478.T,Endothelial Cells,T
X204427086223771.T,Blood Cell,T
X204427100116701.T,Macrophage,T
X204427100838812.T,Exhausted CD8+ T cells,T
X204427113184683.T,T regulatory cells,T
X204427113384236.T,Tfh/Th1 helper CD4+ T cells,T
X204427113421102.T,T regulatory cells,T
X204427131566940.T,B Cell,T
X204427131808541.T,Macrophage,T
X204756724606835.T,CD4+ T cell,T
X204756739086062.T,CD4 or CD8 T cell,T
X204756739312878.T,CD4 or CD8 T cell,T
X204756751632221.T,Exhausted CD8+ T cells,T
X204756752219555.T,cDC2,T
X204762092780958.T,Endothelial Cells,T
X204762093566774.T,Non Blood Cell,T
X204762093602667.T,B Cell,T
X204762108287900.T,Exhausted CD8+ T cells,T
X204762120898803.T,Exhausted CD8+ T cells,T
X204762120940340.T,T regulatory cells,T
X204762139506420.T,B Cell,T
X204762139737508.T,B Cell,T
X204763032869173.T,Effector/Memory CD8+ T cells,T
X204763032930147.T,B Cell,T
X204763047512989.T,CD8+ T cell,T
X204763047783646.T,Effector/Memory CD8+ T cells,T
X204763059832757.T,B Cell,T
X204763059903724.T,CD4+ T cell,T
X204763060365747.T,CD8+ T cell,T
X204763060419443.T,Macrophage,T
X204763078774069.T,CD8+ T cell,T
X204763078969699.T,B Cell,T
X204763079264996.T,Exhausted CD8+ T cells,T
X204763079301540.T,B Cell,T
X204765448812461.T,Effector/Memory CD8+ T cells,T
X204765463006582.T,Any Cell,T
X204765463469413.T,Effector/Memory CD8+ T cells,T
X204765475759988.T,CAFinfla,T
X204765476312940.T,Effector/Memory CD4+ T cells,T
X204765476342557.T,Macrophage,T
X204765494372763.T,CD4+ T cell,T
X204816853876019.T,Exhausted CD8+ T cells,T
X204816854464860.T,B Cell,T
X204816868294043.T,Effector/Memory CD8+ T cells,T
X204816868632427.T,B Cell,T
X204816868653422.T,Effector/Memory CD8+ T cells,T
X204816869088692.T,Macrophage,T
X204816880983398.T,B Cell,T
X204816881446181.T,Effector/Memory CD8+ T cells,T
X204816899860788.T,Exhausted CD8+ T cells,T
X204816900111278.T,Tfh/Th1 helper CD4+ T cells,T
X204816900279603.T,B Cell,T
X204816900287710.T,T regulatory cells,T
X204825309436252.T,Effector/Memory CD8+ T cells,T
X204825309932444.T,Exhausted CD8+ T cells,T
X204825310193892.T,CD8+ T cell,T
X204825324075422.T,Exhausted CD8+ T cells,T
X204825324645597.T,CD4+ T cell,T
X204825324902619.T,Pancreatic Cancer Cell,T
X204825336597405.T,Macrophage,T
X204825336933110.T,CD4+ T cell,T
X204825336966045.T,Macrophage,T
X204825337485221.T,Tfh/Th1 helper CD4+ T cells,T
X204825356057443.T,Phagocytosis Macrophage,T
X204882352393061.T,Exhausted CD8+ T cells,T
X204882366810981.T,Effector/Memory CD8+ T cells,T
X204882366847796.T,B Cell,T
X204882367396646.T,CD4+ T cell,T
X204882379466532.T,Effector/Memory CD8+ T cells,T
X204882380015963.T,pDC,T
X204882398041893.T,CAFadi,T
X204882398272931.T,B Cell,T
X204882398624483.T,Macrophage,T
X204911342958315.T,Mast cell,T
X204911343519587.T,Exhausted CD8+ T cells,T
X204911358164323.T,CD4+ T cell,T
X204911358401884.T,Effector/Memory CD8+ T cells,T
X204911370460019.T,B Cell,T
X204911389857710.T,B Cell,T
X204954158348715.T,Macrophage,T
X204954158417651.T,Macrophage,T
X204954158652828.T,CD8+ T cell,T
X204954173355886.T,CD4+ T cell,T
X204954185645365.T,CD4+ T cell,T
X204954204597164.T,B Cell,T
X204959661373804.T,Exhausted CD8+ T cells,T
X204959661538220.T,Macrophage,T
X204959661647587.T,Tfh/Th1 helper CD4+ T cells,T
X204959676065715.T,CAFinfla,T
X204959676250859.T,Endothelial Cells,T
X204959676316523.T,B Cell,T
X204959676775284.T,Exhausted CD8+ T cells,T
X204959688808742.T,Exhausted CD8+ T cells,T
X204959688878828.T,B Cell,T
X204959707715870.T,Blood Cell,T
X204959707741419.T,T regulatory cells,T
X204959708240235.T,Pancreatic Cancer Cell,T
X205381656766308.T,Effector/Memory CD8+ T cells,T
X205381669080307.T,Tfh/Th1 helper CD4+ T cells,T
X205381669140902.T,Mast cell,T
X205381669698275.T,B Cell,T
X205381669898595.T,B Cell,T
X205381687958390.T,CD4+ T cell,T
X205381688310702.T,Natural killer cell,T
X205381688478510.T,CD4+ T cell,T
X205392379497382.T,Macrophage,T
X205392394274598.T,B Cell,T
X205392406791989.T,Exhausted CD8+ T cells,T
X205392425404779.T,Exhausted CD8+ T cells,T
X205392425896365.T,Natural killer cell,T
X205449153375019.T,Exhausted CD8+ T cells,T
X205449153959726.T,Effector/Memory CD4+ T cells,T
X205449153960734.T,Macrophage,T
X205449168010651.T,B Cell,T
X205449168809381.T,Exhausted CD8+ T cells,T
X205449180597491.T,Tfh/Th1 helper CD4+ T cells,T
X205449181157222.T,Phagocytosis Macrophage,T
X205449181485483.T,B Cell,T
X205449199537438.T,Pancreatic Cancer Cell,T
X205449199737628.T,CD4+ T cell,T
X205449199799029.T,CAFinfla,T
X205449200287149.T,B Cell,T
X205449200326444.T,Effector/Memory CD4+ T cells,T
X205510774840036.T,B Cell,T
X205510786594541.T,Phagocytosis Macrophage,T
X205510787316509.T,CD4+ T cell,T
X205510787418862.T,B Cell,T
X205511430393075.T,Macrophage,T
X205511445101347.T,Macrophage,T
X205511445137267.T,CD4+ T cell,T
X205511445592294.T,Exhausted CD8+ T cells,T
X205511445919979.T,Tfh/Th1 helper CD4+ T cells,T
X205511477286629.T,CD8+ T cell,T
X205518946556332.T,Exhausted CD8+ T cells,T
X205518947084147.T,CAFinfla,T
X205518974114660.T,Exhausted CD8+ T cells,T
X205518974147820.T,B Cell,T
X205518993210653.T,CD4+ T cell,T
X205518993308387.T,Phagocytosis Macrophage,T
X205527670708587.T,Phagocytosis Macrophage,T
X205527670779292.T,Exhausted CD8+ T cells,T
X205527671008156.T,CD4+ T cell,T
X205527671495981.T,Macrophage,T
X205527671564123.T,B Cell,T
X205527685381531.T,Phagocytosis Macrophage,T
X205527685715683.T,CD8+ T cell,T
X205527685719915.T,Tfh/Th1 helper CD4+ T cells,T
X205527698291491.T,B Cell,T
X205527698323302.T,CD4+ T cell,T
X205527698761629.T,CD8+ T cell,T
X205527717461350.T,Blood Cell,T
X205870194420596.T,Pancreatic Cancer Cell,T
X205870194677492.T,CD4+ T cell,T
X205870209654003.T,Blood Cell,T
X205870221944757.T,B Cell,T
X205870241344811.T,CD4+ T cell,T
X205870241365356.T,CD8+ T cell,T
X205922673838318.T,B Cell,T
X205922688264931.T,B Cell,T
X205922700782387.T,Cancer Associated Fibroblasts,T
X205922701076342.T,CD4+ T cell,T
X205922701294317.T,CAFmyo,T
X205922719615413.T,CD4+ T cell,T
X205922719677686.T,CD4+ T cell,T
X205922719684397.T,CD8+ T cell,T
X205922719689011.T,Macrophage,T
X205922719878515.T,Exhausted CD8+ T cells,T
X205922720402731.T,Effector/Memory CD8+ T cells,T
X226205925031339.T,CD4+ T cell,T
X226205925586732.T,Blood Cell,T
X226205952523574.T,T regulatory cells,T
X226205971467638.T,Effector/Memory CD8+ T cells,T
X226265786706292.T,CD8+ T cell,T
X226265786898205.T,Exhausted CD8+ T cells,T
X226265801018213.T,Naive CD4+ T cells,T
X226265813445028.T,Blood Cell,T
X226265813707635.T,CAFinfla,T
X226265814223587.T,B Cell,T
X226265814230763.T,CD4+ T cell,T
X226265833036723.T,Exhausted CD8+ T cells,T
X226273436579683.T,B Cell,T
X226273436744620.T,CD8+ T cell,T
X226273437076773.T,CAFmyo,T
X226273437272870.T,B Cell,T
X226273451432875.T,CAFinfla,T
X226273451494302.T,Phagocytosis Macrophage,T
X226273451952483.T,B Cell,T
X226273451982110.T,CD8 T or NK cell,T
X226273464077038.T,CD4+ T cell,T
X226273482730803.T,Exhausted CD8+ T cells,T
X226273483156206.T,Macrophage,T
X226273483478878.T,CD8+ T cell,T
X226283249166566.T,Macrophage,T
X226283249417067.T,Exhausted CD8+ T cells,T
X226283249589083.T,cDC2,T
X226283249645813.T,CD4+ T cell,T
X226283261683558.T,Macrophage,T
X226283262240692.T,Effector/Memory CD4+ T cells,T
X226283280853918.T,B Cell,T
X226283281139557.T,Effector/Memory CD8+ T cells,T
X226343095523678.T,CAFinfla,T
X226343095811371.T,Exhausted CD8+ T cells,T
X226343096071974.T,CD4 or CD8 T cell,T
X226343110199222.T,Tfh/Th1 helper CD4+ T cells,T
X226343110265061.T,B Cell,T
X226343110523246.T,Exhausted CD8+ T cells,T
X226343141924131.T,B Cell,T
X226343142243238.T,pDC,T
X226394649836963.T,CD8+ T cell,T
X226394649881315.T,CD4+ T cell,T
X226394650135780.T,Exhausted CD8+ T cells,T
X226394662976734.T,CD4+ T cell,T
X226806147442478.T,T regulatory cells,T
X226806162216875.T,Exhausted CD8+ T cells,T
X226806174534373.T,CD4+ T cell,T
X226806193641310.T,CD8+ T cell,T
X226806193671078.T,B Cell,T
X226822386993053.T,Exhausted CD8+ T cells,T
X226822401713902.T,CD4+ T cell,T
X226822402005915.T,Blood Cell,T
X226829500791734.T,Blood Cell,T
X226829500798766.T,Naive CD4+ T cells,T
X226829500869860.T,CD4+ T cell,T
X226829501314868.T,Exhausted CD8+ T cells,T
X226829527894958.T,CD4 or CD8 T cell,T
X226829528058165.T,Pancreatic Cancer Cell,T
X226829528587555.T,Exhausted CD8+ T cells,T
X226829546744043.T,Effector/Memory CD8+ T cells,T
X226874747473309.T,Effector/Memory CD8+ T cells,T
X226874759211950.T,CAFinfla,T
X226874759273700.T,CD8+ T cell,T
X226874759470389.T,Exhausted CD8+ T cells,T
X226874759793884.T,cDC2,T
X226874778314612.T,B Cell,T
X226874778369259.T,CD4+ T cell,T
X226874778634485.T,B Cell,T
X226874778664308.T,Tfh/Th1 helper CD4+ T cells,T
X226883187927467.T,Phagocytosis Macrophage,T
X226883202308451.T,CD4 or CD8 T cell,T
X226883214929251.T,Exhausted CD8+ T cells,T
X226883215710510.T,Exhausted CD8+ T cells,T
X226883233834862.T,B Cell,T
X226883234622244.T,Naive CD4+ T cells,T
X226901441865956.T,Exhausted CD8+ T cells,T
X226901442022700.T,CD8+ T cell,T
X226901456181084.T,Effector/Memory CD8+ T cells,T
X226901456206189.T,Endothelial Cells,T
X226901456243614.T,Effector/Memory CD4+ T cells,T
X226901468539636.T,Exhausted CD8+ T cells,T
X226901468567332.T,Phagocytosis Macrophage,T
X226901468756405.T,Effector/Memory CD8+ T cells,T
X226949760243422.T,B Cell,T
X226949760445237.T,Exhausted CD8+ T cells,T
X226949787409310.T,B Cell,T
X226949805755251.T,Exhausted CD8+ T cells,T
X226953384061796.T,Pro-angiogenesis Macrophage,T
X226953398535974.T,B Cell,T
X226953410828140.T,T regulatory cells,T
X226953411128028.T,Macrophage,T
X226953411574005.T,CD4+ T cell,T
X226953411582315.T,cDC2,T
X226953429707686.T,Effector/Memory CD4+ T cells,T
X226953430485852.T,Exhausted CD8+ T cells,T
X226958752540589.T,Exhausted CD8+ T cells,T
X226958766959340.T,B Cell,T
X226958766959899.T,Pro-angiogenesis Macrophage,T
X226958767245613.T,B Cell,T
X226958767250740.T,Any Cell,T
X226958767675701.T,Endothelial Cells,T
X226958779469043.T,Natural killer cell,T
X226958779562844.T,Effector/Memory CD8+ T cells,T
X226958779726198.T,CD4+ T cell,T
X226958798678942.T,Effector/Memory CD8+ T cells,T
X226970295188406.T,CD4+ T cell,T
X226970295195547.T,Tfh/Th1 helper CD4+ T cells,T
X226970295528283.T,B Cell,T
X226970322221806.T,Effector/Memory CD4+ T cells,T
X226970322524979.T,CD4+ T cell,T
X227284901652915.T,Exhausted CD8+ T cells,T
X227284902070107.T,Exhausted CD8+ T cells,T
X227284916324582.T,CD4+ T cell,T
X227284916751220.T,Macrophage,T
X227284929165214.T,Phagocytosis Macrophage,T
X227305168194782.T,Macrophage,T
X227305168518364.T,Effector/Memory CD8+ T cells,T
X227305168529323.T,CAFmyo,T
X227305182882227.T,CD4+ T cell,T
X227305183102827.T,Exhausted CD8+ T cells,T
X227305196247342.T,Exhausted CD8+ T cells,T
X227305196281076.T,CD8 T or NK cell,T
X227305196313003.T,CAFadi,T
X227305214307124.T,Endothelial Cells,T
X227305214340021.T,Exhausted CD8+ T cells,T
X227354828982573.T,B Cell,T
X227354829342563.T,CD4+ T cell,T
X227354843666214.T,Tfh/Th1 helper CD4+ T cells,T
X227354843703603.T,B Cell,T
X227354844032347.T,CD4+ T cell,T
X227354856320245.T,Effector/Memory CD8+ T cells,T
X227354875644254.T,B Cell,T
X227354875677412.T,Pancreatic Cancer Cell,T
X227357110429550.T,T regulatory cells,T
X227357110462238.T,CD4 or CD8 T cell,T
X227357111282596.T,CD4+ T cell,T
X227357111306595.T,Effector/Memory CD8+ T cells,T
X227357125462390.T,Macrophage,T
X227357137717606.T,B Cell,T
X227357138311908.T,CD4+ T cell,T
X227357138513124.T,Blood Cell,T
X227357157379419.T,Macrophage,T
X227363568138973.T,Exhausted CD8+ T cells,T
X227363580504989.T,Macrophage,T
X227363599333157.T,CAFmyo,T
X227363599535411.T,CD8+ T cell,T
X227363599800237.T,B Cell,T
X227363599824686.T,Tfh/Th1 helper CD4+ T cells,T
X227363599858476.T,B Cell,T
X227363599863029.T,Macrophage,T
X227364224231646.T,Blood Cell,T
X227364224547548.T,Phagocytosis Macrophage,T
X227364239166388.T,Exhausted CD8+ T cells,T
X227364239170854.T,Exhausted CD8+ T cells,T
X227364239460125.T,Effector/Memory CD8+ T cells,T
X227364251257629.T,CD4+ T cell,T
X227364251330974.T,Exhausted CD8+ T cells,T
X227364251559861.T,Exhausted CD8+ T cells,T
X227364251592500.T,B Cell,T
X227364252077283.T,CAFinfla,T
X227425427536173.T,Exhausted CD8+ T cells,T
X227425427606246.T,B Cell,T
X227425441966901.T,Effector/Memory CD8+ T cells,T
X227425442776878.T,Macrophage,T
X227425454541678.T,Tfh/Th1 helper CD4+ T cells,T
X227425455327587.T,T regulatory cells,T
X227425473386867.T,Effector/Memory CD8+ T cells,T
X227425473449246.T,Effector/Memory CD8+ T cells,T
X227425473907117.T,Exhausted CD8+ T cells,T
X227425474272036.T,B Cell,T
X227493073049436.T,CAFmyo,T
X227493088226612.T,CD8+ T cell,T
X227493088247139.T,Phagocytosis Macrophage,T
X227493100350324.T,Phagocytosis Macrophage,T
X227493100542309.T,CD8+ T cell,T
X227493101026038.T,Phagocytosis Macrophage,T
X227493101034284.T,B Cell,T
X227493119380388.T,CD8+ T cell,T
X227493119384995.T,B Cell,T
X227493119900910.T,T regulatory cells,T
X227510387370788.T,Effector/Memory CD8+ T cells,T
X227510387435435.T,CD4+ T cell,T
X227510402038493.T,Effector/Memory CD8+ T cells,T
X227510402115373.T,CD4+ T cell,T
X227510402271539.T,Macrophage,T
X227510414367028.T,Phagocytosis Macrophage,T
X227510414591925.T,B Cell,T
X227510414854380.T,CD4+ T cell,T
X227510415218988.T,B Cell,T
X227510433265964.T,Endothelial Cells,T
X227516844530587.T,Tfh/Th1 helper CD4+ T cells,T
X227516844558566.T,Macrophage,T
X227516845057972.T,Effector/Memory CD8+ T cells,T
X227516876017052.T,Endothelial Cells,T
X227516876541349.T,CD4+ T cell,T
X227844186888435.T,Phagocytosis Macrophage,T
X227844187081563.T,B Cell,T
X227844187346742.T,CD8+ T cell,T
X227844201868532.T,CD4 or CD8 T cell,T
X227844213922726.T,Cancer Associated Fibroblasts,T
X227844213923044.T,T regulatory cells,T
X227844214373148.T,Effector/Memory CD8+ T cells,T
X227844214646638.T,CAFinfla,T
X227844214701277.T,T regulatory cells,T
X227844233022813.T,B Cell,T
X227844233287397.T,Effector/Memory CD8+ T cells,T
X227846602483947.T,Pancreatic Cancer Cell,T
X227846602541356.T,Exhausted CD8+ T cells,T
X227846603323251.T,CD8+ T cell,T
X227846630096166.T,CD4+ T cell,T
X227846648917222.T,T regulatory cells,T
X227846648950043.T,CD4+ T cell,T
X227853850588958.T,Tfh/Th1 helper CD4+ T cells,T
X227853850819317.T,Tfh/Th1 helper CD4+ T cells,T
X227853851082014.T,Macrophage,T
X227853864922019.T,B Cell,T
X227853864987421.T,Naive CD4+ T cells,T
X227853865248540.T,pDC,T
X227853865498355.T,pDC,T
X227853877864795.T,CD4+ T cell,T
X227853878319924.T,Exhausted CD8+ T cells,T
X227903377463707.T,Tfh/Th1 helper CD4+ T cells,T
X227903391296284.T,B Cell,T
X227903404391155.T,CD4 or CD8 T cell,T
X227903422753692.T,Exhausted CD8+ T cells,T
X227903423244700.T,Macrophage,T
X227921630514013.T,Exhausted CD8+ T cells,T
X227921644869420.T,Phagocytosis Macrophage,T
X227921644895588.T,Exhausted CD8+ T cells,T
X227921645161846.T,Exhausted CD8+ T cells,T
X227921645194460.T,Exhausted CD8+ T cells,T
X227921645386163.T,B Cell,T
X227921658033908.T,Macrophage,T
X227921658296156.T,Effector/Memory CD8+ T cells,T
X227921676327654.T,Pancreatic Cancer Cell,T
X227921676422579.T,Effector/Memory CD8+ T cells,T
X227921676855670.T,CD4+ T cell,T
X227921676876651.T,CD4+ T cell,T
X227930488552862.T,Exhausted CD8+ T cells,T
X227930488626525.T,CD8+ T cell,T
X227930488659165.T,Exhausted CD8+ T cells,T
X227930489383646.T,Exhausted CD8+ T cells,T
X227930503265525.T,Macrophage,T
X227930516114277.T,CD4+ T cell,T
X227930534766379.T,Natural killer cell,T
X227930534993259.T,Macrophage,T
X227973438553387.T,Macrophage,T
X227973439055796.T,CD4+ T cell,T
X227973439113564.T,Blood Cell,T
X227973453010739.T,T regulatory cells,T
X227973453276893.T,Exhausted CD8+ T cells,T
X227975317542763.T,B Cell,T
X227975317612963.T,T regulatory cells,T
X227975317637358.T,B Cell,T
X227975331965870.T,Effector/Memory CD8+ T cells,T
X227975332284837.T,CD4+ T cell,T
X227975332743582.T,Macrophage,T
X227975332805419.T,Macrophage,T
X227975344801637.T,Effector/Memory CD8+ T cells,T
X227975344834406.T,CD4+ T cell,T
X227975345331563.T,Phagocytosis Macrophage,T
X227975363676532.T,Effector/Memory CD8+ T cells,T
X227975363743029.T,CD4+ T cell,T
X227975364040950.T,Tfh/Th1 helper CD4+ T cells,T
X227981760260525.T,Exhausted CD8+ T cells,T
X227981774935915.T,Macrophage or Dendritic Cell,T
X227981786995574.T,B Cell,T
X227981787027692.T,Non Stromal Cell,T
X227981787051757.T,Effector/Memory CD8+ T cells,T
X227981806390062.T,Macrophage,T
X227981806487347.T,LAMP3 cDC,T
X227982967756534.T,B Cell,T
X227982967782301.T,B Cell,T
X227982968012075.T,Phagocytosis Macrophage,T
X227982968015771.T,Mast cell,T
X227982968274348.T,Endothelial Cells,T
X227982982364571.T,Macrophage,T
X227982982733019.T,Tfh/Th1 helper CD4+ T cells,T
X227982983256804.T,Blood Cell,T
X227982995769717.T,CD4+ T cell,T
X227982995832227.T,Effector/Memory CD8+ T cells,T
X227983014348701.T,Endothelial Cells,T
X227983014378731.T,Tfh/Th1 helper CD4+ T cells,T
X227990484240181.T,cDC1,T
X227990484478876.T,Pro-angiogenesis Macrophage,T
X227990498855661.T,Macrophage,T
X227990498863390.T,CD4+ T cell,T
X227990511184741.T,B Cell,T
X227990511242035.T,B Cell,T
X227990511700212.T,CD4 or CD8 T cell,T
X227990511929644.T,Exhausted CD8+ T cells,T
X227990512033004.T,CD4 or CD8 T cell,T
X227990530078566.T,Exhausted CD8+ T cells,T
X227990530091942.T,B Cell,T
X227990530119915.T,T regulatory cells,T
X227990530546475.T,Blood Cell,T
X227991424219942.T,Macrophage,T
X227991450670829.T,B Cell,T
X227991450773740.T,CD4+ T cell,T
X227991451285406.T,CD8+ T cell,T
X228042023783846.T,Exhausted CD8+ T cells,T
X228042023820581.T,Exhausted CD8+ T cells,T
X228042024105822.T,Exhausted CD8+ T cells,T
X228042038696372.T,Natural killer cell,T
X228042038962093.T,CD4 or CD8 T cell,T
X228042050858341.T,B Cell,T
X228042051050267.T,CD4+ T cell,T
X228042051074483.T,Macrophage,T
X228042051566958.T,Effector/Memory CD8+ T cells,T
X228042051570974.T,Exhausted CD8+ T cells,T
X228042069661477.T,Effector/Memory CD8+ T cells,T
X228042069694748.T,B Cell,T
X228042069891827.T,Pancreatic Cancer Cell,T
X228042070510005.T,Phagocytosis Macrophage,T
X230592321842021.T,Macrophage or Dendritic Cell,T
X230592321870262.T,T regulatory cells,T
X230592322430827.T,CD4+ T cell,T
X230592322652462.T,Macrophage,T
X230611622681821.T,Pancreatic Cancer Cell,T
X230611636668789.T,Effector/Memory CD8+ T cells,T
X230611668127068.T,Natural killer cell,T
